Summary
Matchday 3: Successful Pass in zone 3C by player Casper Tengstedt to player James Gomez in zone 3C for team AC Horsens at minute 0:0
Matchday 3: Unsuccessful Pass in zone 3D by player James Gomez for team AC Horsens at minute 0:3
Matchday 3: Unsuccessful Pass in zone 2D by player Mathias Ross for team Aalborg BK at minute 0:6
Matchday 3: Unsuccessful Pass in zone 4A by player Magnus Jensen for team AC Horsens at minute 0:8
Matchday 3: Unsuccessful Pass in zone 2E by player Jakob Ahlmann for team Aalborg BK at minute 0:10
Matchday 3: Successful Foul in zone 2D by player Jakob Ahlmann for team Aalborg BK at minute 0:12
Matchday 3: Unsuccessful Foul in zone 5B by player Anders Jacobsen for team AC Horsens at minute 0:12
Matchday 3: Successful Pass in zone 2D by player Mathias Ross to player Josip Posavec in zone 2D for team Aalborg BK at minute 0:23
Matchday 3: Successful Pass in zone 1C by player Josip Posavec to player Kristoffer Pallesen in zone 1C for team Aalborg BK at minute 0:27
Matchday 3: Successful Pass in zone 2A by player Kristoffer Pallesen to player Lars Kramer in zone 2A for team Aalborg BK at minute 0:31
Matchday 3: Unsuccessful Pass in zone 2B by player Lars Kramer for team Aalborg BK at minute 0:33
Matchday 3: Successful Pass in zone 4B by player Anosike Ementa for team Aalborg BK at minute 0:36
Matchday 3: Successful Pass in zone 3B by player Iver Fossum to player Mathias Ross in zone 3B for team Aalborg BK at minute 0:40
Matchday 3: Successful Pass in zone 3D by player Mathias Ross for team Aalborg BK at minute 0:44
Matchday 3: Successful Pass in zone 4E by player Jakob Ahlmann to player Mathias Ross in zone 4E for team Aalborg BK at minute 1:16
Matchday 3: Successful Pass in zone 3D by player Mathias Ross to player Lars Kramer in zone 3D for team Aalborg BK at minute 1:18
Matchday 3: Successful Pass in zone 2B by player Lars Kramer to player Kristoffer Pallesen in zone 2B for team Aalborg BK at minute 1:21
Matchday 3: Successful Pass in zone 2A by player Kristoffer Pallesen to player Louka Prip in zone 2A for team Aalborg BK at minute 1:23
Matchday 3: Unsuccessful Pass in zone 3A by player Louka Prip for team Aalborg BK at minute 1:26
