Summary
Matchday 1: Successful Pass in zone 4C by player Nicklas Helenius to player Sebastian Jørgensen in zone 4C for team Silkeborg IF at minute 0:0
Matchday 1: Successful Pass in zone 4C by player Sebastian Jørgensen to player Mark Brink in zone 4C for team Silkeborg IF at minute 0:0
Matchday 1: Successful Pass in zone 3C by player Mark Brink to player Tobias Salquist in zone 3C for team Silkeborg IF at minute 0:2
Matchday 1: Successful Pass in zone 2A by player Tobias Salquist to player Mark Brink in zone 2A for team Silkeborg IF at minute 0:5
Matchday 1: Successful Pass in zone 3B by player Mark Brink to player Tobias Salquist in zone 3B for team Silkeborg IF at minute 0:6
Matchday 1: Successful Pass in zone 2B by player Tobias Salquist to player Joel Felix in zone 2B for team Silkeborg IF at minute 0:8
Matchday 1: Successful Pass in zone 2D by player Joel Felix to player Stefán Thórdarson in zone 2D for team Silkeborg IF at minute 0:11
Matchday 1: Successful Pass in zone 3E by player Stefán Thórdarson for team Silkeborg IF at minute 0:13
Matchday 1: Successful Pass in zone 2D by player Joel Felix to player Nicolai Larsen in zone 2D for team Silkeborg IF at minute 0:15
Matchday 1: Successful Pass in zone 1C by player Nicolai Larsen to player Tobias Salquist in zone 1C for team Silkeborg IF at minute 0:18
Matchday 1: Successful Pass in zone 3A by player Tobias Salquist to player Mark Brink in zone 3A for team Silkeborg IF at minute 0:21
Matchday 1: Successful Pass in zone 3C by player Mark Brink to player Joel Felix in zone 3C for team Silkeborg IF at minute 0:25
Matchday 1: Successful Pass in zone 3D by player Joel Felix to player Stefán Thórdarson in zone 3D for team Silkeborg IF at minute 0:27
Matchday 1: Unsuccessful Pass in zone 3D by player Stefán Thórdarson for team Silkeborg IF at minute 0:28
Matchday 1: Successful Pass in zone 4B by player Casper Winther to player Emil Nielsen in zone 4B for team Lyngby BK at minute 0:29
Matchday 1: Unsuccessful Pass in zone 5B by player Emil Nielsen for team Lyngby BK at minute 0:30
Matchday 1: Successful Pass in zone 2D by player Tobias Salquist to player Joel Felix in zone 2D for team Silkeborg IF at minute 0:34
Matchday 1: Successful Pass in zone 2D by player Joel Felix to player Nicklas Helenius in zone 2D for team Silkeborg IF at minute 0:37
Matchday 1: Unsuccessful Pass in zone 3D by player Nicklas Helenius for team Silkeborg IF at minute 0:39
